time,A,C,Da,Da_prime,Dr,Dr_prime,Ma,Mr,R
0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0
1.0,595.0,54.0,0.0,1.0,1.0,0.0,45.0,21.0,0.0
2.0,872.0,225.0,0.0,1.0,0.0,1.0,43.0,49.0,0.0
3.0,810.0,517.0,0.0,1.0,0.0,1.0,53.0,66.0,0.0
4.0,626.0,900.0,0.0,1.0,0.0,1.0,38.0,74.0,1.0
5.0,519.0,1271.0,0.0,1.0,0.0,1.0,58.0,69.0,1.0
6.0,254.0,1617.0,0.0,1.0,1.0,0.0,43.0,76.0,4.0
7.0,0.0,1141.0,1.0,0.0,1.0,0.0,4.0,46.0,715.0
8.0,0.0,561.0,1.0,0.0,1.0,0.0,4.0,32.0,1262.0
9.0,0.0,352.0,1.0,0.0,1.0,0.0,7.0,20.0,1306.0
10.0,0.0,301.0,1.0,0.0,1.0,0.0,5.0,12.0,1183.0
11.0,0.0,296.0,1.0,0.0,1.0,0.0,4.0,5.0,1015.0
12.0,0.0,225.0,1.0,0.0,1.0,0.0,7.0,4.0,927.0
13.0,1.0,228.0,1.0,0.0,1.0,0.0,10.0,3.0,787.0
14.0,0.0,270.0,1.0,0.0,1.0,0.0,4.0,1.0,632.0
15.0,0.0,217.0,1.0,0.0,1.0,0.0,3.0,1.0,586.0
16.0,0.0,209.0,1.0,0.0,1.0,0.0,4.0,2.0,506.0
17.0,0.0,207.0,1.0,0.0,1.0,0.0,4.0,2.0,423.0
18.0,0.0,283.0,1.0,0.0,1.0,0.0,4.0,3.0,308.0
19.0,0.0,251.0,1.0,0.0,1.0,0.0,5.0,2.0,281.0
20.0,0.0,237.0,1.0,0.0,1.0,0.0,2.0,2.0,261.0
21.0,0.0,240.0,1.0,0.0,1.0,0.0,8.0,4.0,222.0
22.0,101.0,422.0,0.0,1.0,0.0,1.0,23.0,5.0,5.0
23.0,734.0,538.0,0.0,1.0,0.0,1.0,48.0,41.0,1.0
24.0,716.0,807.0,0.0,1.0,0.0,1.0,48.0,53.0,0.0
25.0,414.0,1097.0,0.0,1.0,0.0,1.0,49.0,58.0,1.0
26.0,248.0,1395.0,0.0,1.0,0.0,1.0,45.0,63.0,4.0
27.0,14.0,1630.0,1.0,0.0,1.0,0.0,15.0,53.0,72.0
28.0,0.0,803.0,1.0,0.0,1.0,0.0,1.0,31.0,990.0
29.0,0.0,438.0,1.0,0.0,1.0,0.0,4.0,21.0,1232.0
30.0,0.0,287.0,1.0,0.0,1.0,0.0,7.0,14.0,1206.0
31.0,1.0,297.0,1.0,0.0,1.0,0.0,7.0,10.0,1036.0
32.0,0.0,250.0,1.0,0.0,1.0,0.0,4.0,6.0,923.0
33.0,0.0,232.0,1.0,0.0,1.0,0.0,7.0,4.0,785.0
34.0,0.0,246.0,1.0,0.0,1.0,0.0,5.0,2.0,642.0
35.0,0.0,269.0,1.0,0.0,1.0,0.0,9.0,1.0,501.0
36.0,0.0,283.0,1.0,0.0,1.0,0.0,5.0,1.0,412.0
37.0,0.0,351.0,1.0,0.0,1.0,0.0,10.0,0.0,267.0
38.0,0.0,283.0,1.0,0.0,1.0,0.0,6.0,0.0,285.0
39.0,0.0,240.0,1.0,0.0,1.0,0.0,1.0,0.0,267.0
40.0,0.0,198.0,1.0,0.0,1.0,0.0,8.0,0.0,257.0
41.0,0.0,180.0,1.0,0.0,1.0,0.0,3.0,0.0,223.0
42.0,0.0,256.0,1.0,0.0,1.0,0.0,3.0,0.0,106.0
43.0,2.0,244.0,1.0,0.0,1.0,0.0,5.0,3.0,99.0
44.0,1.0,265.0,1.0,0.0,1.0,0.0,4.0,8.0,83.0
45.0,1.0,186.0,1.0,0.0,1.0,0.0,5.0,7.0,161.0
46.0,3.0,234.0,1.0,0.0,1.0,0.0,5.0,6.0,108.0
47.0,218.0,356.0,1.0,0.0,0.0,1.0,32.0,7.0,2.0
48.0,697.0,530.0,0.0,1.0,0.0,1.0,37.0,50.0,1.0
49.0,711.0,832.0,0.0,1.0,0.0,1.0,39.0,75.0,0.0
50.0,452.0,1221.0,0.0,1.0,0.0,1.0,42.0,84.0,2.0
51.0,227.0,1596.0,0.0,1.0,1.0,0.0,46.0,88.0,6.0
